Customer ID,Feedback Channel,Rating,Comment,Date
C00113,Email,3.0,T0tally satisfi3d!,2024-06-27
C00157,Survey,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-04-29
C00643,,5.0,Not worth the price.,2024-09-17
,Email,2.0,T0tally satisfi3d!,2024-02-04
C00812,Email,5.0,"Overall, a decent experience.*",2024-02-23
C00697,Survey,5.0,Not worth the price.,2024-08-06
C00433,Email,5.0,T0tally satisfi3d!,2024-02-18
C00611,Social Media,1.0,Too slow response time.,2023-12-24
C00066,Survey,5.0,Terrible custmer support.!!!,2024-08-31
C00395,Social Media,3.0,Terrible custmer support.!!!,2024-02-25
C00391,Social Media,5.0,Good but could be better.??,2024-04-12
C00611,Survey,2.0,Exceeds my expectations!??,2024-08-03
C00480,Survey,5.0,Satisfied with the service.,2024-08-23
C00542,Social Media,2.0,Very poor qualty for the price.,2023-12-21
C00258,Email,,Exceeds my expectations!??,2024-08-11
C00995,Email,2.0,,2023-11-26
C00567,Survey,1.0,Terrible custmer support.!!!,2023-12-03
C00882,Social Media,2.0,"Overall, a decent experience.*",2024-02-13
C00966,Social Media,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-08-03
C00012,Survey,2.0,Could improve produtc qualty....,2023-12-08
C00697,,2.0,Could improve produtc qualty....,2024-03-16
C00739,Social Media,5.0,The servise was grate!,2024-05-20
C00118,Social Media,5.0,Would definitly recommend!*,2024-02-09
C00699,,4.0,The servise was grate!,2024-03-16
C00907,Social Media,2.0,Exceeds my expectations!??,2024-01-09
C00550,,3.0,Could improve produtc qualty....,2024-10-30
C00769,Survey,1.0,Satisfied with the service.,2024-09-10
C00274,Email,4.0,Too slow response time.,2024-02-01
C00788,Survey,3.0,"Overall, a decent experience.*",2024-04-12
C00657,Survey,4.0,Satisfied with the service.,2024-01-24
C00349,Social Media,5.0,The best experience i've had!,2023-12-27
C00115,Email,4.0,Not worth the price.,2024-10-22
C00301,Social Media,4.0,"Overall, a decent experience.*",2024-09-11
C00446,Email,4.0,Too slow response time.,2024-05-12
C00162,Social Media,3.0,,2024-08-25
C00465,Survey,2.0,The best experience i've had!,2024-06-29
C00004,Email,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-03-07
C00977,Email,1.0,Exceeds my expectations!??,2023-12-01
C00740,Survey,1.0,Too slow response time.,2024-08-31
C00897,Survey,3.0,Very poor qualty for the price.,2023-12-27
C00737,Social Media,5.0,Too slow response time.,2024-02-01
C00270,Email,3.0,Not worth the price.,
C00996,Social Media,2.0,Exceeds my expectations!??,2024-07-25
C00513,Email,5.0,Could improve produtc qualty....,2024-04-13
C00781,Email,5.0,Would definitly recommend!*,2024-01-23
C00183,Social Media,1.0,The best experience i've had!,2024-07-03
C00520,Survey,1.0,Terrible custmer support.!!!,
C00935,,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-04-04
C00109,Social Media,2.0,Would definitly recommend!*,2023-12-21
C00892,Survey,,Would definitly recommend!*,2023-12-19
C00641,Social Media,4.0,T0tally satisfi3d!,2024-04-04
C00306,Survey,2.0,Too slow response time.,2024-05-28
C00862,Social Media,2.0,Satisfied with the service.,2023-12-20
C00655,Social Media,4.0,Exceeds my expectations!??,2024-02-13
C00520,Social Media,2.0,Could improve produtc qualty....,2024-03-11
C00624,Social Media,4.0,Very responsive and helpful!*,2023-12-17
C00204,Survey,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-04-23
C00157,Email,5.0,Too slow response time.,2024-09-28
C00383,Survey,2.0,Could improve produtc qualty....,2024-05-05
C00781,Email,2.0,Satisfied with the service.,2024-05-08
C00166,Social Media,3.0,The best experience i've had!,2024-02-13
C00553,Email,1.0,Satisfied with the service.,2023-12-02
C00977,Email,2.0,The best experience i've had!,
C00798,Survey,3.0,Would definitly recommend!*,2024-04-17
C00945,Social Media,2.0,Too slow response time.,2024-02-27
C00544,Social Media,4.0,Could improve produtc qualty....,2023-11-24
C00941,Social Media,1.0,Very responsive and helpful!*,2024-02-10
C00001,Email,5.0,Terrible custmer support.!!!,2023-12-05
C00614,Social Media,2.0,Very poor qualty for the price.,2024-04-10
C00332,Survey,2.0,Would definitly recommend!*,2024-04-04
C00501,Email,4.0,Too slow response time.,2023-11-10
C00020,Email,2.0,Very poor qualty for the price.,2024-06-22
C00115,Email,3.0,The best experience i've had!,2024-06-17
C00952,Email,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-08-03
C00372,Survey,1.0,Could improve produtc qualty....,2023-12-20
C00900,Email,1.0,,2024-10-13
C00852,Email,5.0,Would definitly recommend!*,2024-11-03
C00827,,3.0,"Overall, a decent experience.*",2023-12-26
C00315,Social Media,5.0,Very responsive and helpful!*,2023-11-29
C00246,Survey,1.0,Not worth the price.,2024-09-15
C00060,Social Media,5.0,Exceeds my expectations!??,2024-05-31
C00247,Email,4.0,Good but could be better.??,2024-05-07
C00900,Email,2.0,The servise was grate!,2024-09-14
C00581,Email,4.0,Too slow response time.,
C00970,Survey,3.0,Good but could be better.??,2024-04-08
C00081,Social Media,1.0,Too slow response time.,2024-10-09
C00088,Social Media,5.0,Very poor qualty for the price.,2024-04-13
C00750,Survey,5.0,The best experience i've had!,2024-04-16
C00498,Survey,4.0,Very responsive and helpful!*,2024-06-25
C00836,Social Media,2.0,Terrible custmer support.!!!,2024-05-31
C00071,Survey,1.0,T0tally satisfi3d!,2024-11-01
C00779,Email,3.0,Not worth the price.,2024-06-13
C00546,Social Media,3.0,The servise was grate!,2024-03-05
C00785,Survey,1.0,Very responsive and helpful!*,2024-04-09
C00129,Social Media,,,2024-04-19
C00132,Survey,3.0,Too slow response time.,2024-04-08
C00676,Social Media,,"Overall, a decent experience.*",
C00487,Social Media,4.0,Not worth the price.,2024-08-16
C00970,Social Media,4.0,Too slow response time.,2024-02-07
C00563,Email,5.0,T0tally satisfi3d!,2024-09-05
C00170,Email,2.0,Exceeds my expectations!??,2024-09-02
C00272,Social Media,4.0,Would definitly recommend!*,2023-12-25
C00541,,3.0,Too slow response time.,2024-01-16
C00894,Email,2.0,"Overall, a decent experience.*",2024-05-31
C00622,Survey,5.0,Not worth the price.,2024-09-14
C00434,Social Media,1.0,Too slow response time.,2024-09-06
C00988,Survey,1.0,The best experience i've had!,2024-03-20
C00217,,5.0,The best experience i've had!,2024-04-27
C00952,Survey,5.0,Very responsive and helpful!*,2024-01-22
C00553,Survey,,The servise was grate!,2023-12-03
C00774,Social Media,2.0,Would definitly recommend!*,2024-06-05
C00748,Social Media,4.0,Could improve produtc qualty....,2024-04-10
C00707,Survey,4.0,The best experience i've had!,2024-10-20
C00206,Survey,4.0,Could improve produtc qualty....,2023-12-17
C00731,Social Media,1.0,The servise was grate!,2024-09-16
C00320,Email,1.0,The best experience i've had!,2023-12-27
C00409,Email,3.0,Terrible custmer support.!!!,2023-11-16
C00688,Survey,3.0,The servise was grate!,2024-06-06
C00666,Social Media,3.0,Exceeds my expectations!??,2023-12-28
C00383,Survey,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-10-25
C00449,Social Media,3.0,The best experience i've had!,2024-05-18
C00922,Email,4.0,Could improve produtc qualty....,2024-09-28
C00530,Survey,3.0,Would definitly recommend!*,2024-05-17
C00463,Social Media,3.0,Not worth the price.,2024-10-23
C00124,Survey,1.0,Too slow response time.,2024-09-15
C00254,Email,1.0,"Overall, a decent experience.*",2023-12-22
C00231,Email,1.0,Too slow response time.,2023-11-13
C00066,Survey,4.0,Good but could be better.??,2023-12-05
C00347,Survey,2.0,The best experience i've had!,2024-10-29
C00022,Survey,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-07-31
C00603,Social Media,4.0,Good but could be better.??,2024-09-25
C00568,Social Media,2.0,Too slow response time.,
C00236,Survey,5.0,Terrible custmer support.!!!,2024-01-25
C00603,Email,4.0,The best experience i've had!,2024-10-10
C00226,Survey,3.0,Good but could be better.??,2024-03-12
,,1.0,T0tally satisfi3d!,2024-01-12
C00073,Email,4.0,,2024-01-07
C00725,Email,5.0,Terrible custmer support.!!!,2024-05-30
C00647,Social Media,5.0,Could improve produtc qualty....,2024-08-05
C00061,Survey,5.0,The best experience i've had!,2024-01-16
C00235,Survey,4.0,Would definitly recommend!*,2024-06-05
C00070,Survey,5.0,"Overall, a decent experience.*",2024-07-19
C00928,Survey,5.0,Terrible custmer support.!!!,2024-01-08
,Email,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-01-21
C00881,Survey,1.0,The servise was grate!,2024-10-21
C00339,Survey,5.0,Too slow response time.,2023-12-17
C00073,Survey,1.0,Very responsive and helpful!*,2024-09-24
,Survey,5.0,Satisfied with the service.,2024-07-17
C00244,Social Media,1.0,The best experience i've had!,2024-05-05
C00286,Survey,5.0,"Overall, a decent experience.*",2024-09-26
C00686,Email,,Exceeds my expectations!??,2024-05-28
C00498,Social Media,1.0,Could improve produtc qualty....,2024-01-31
C00220,Survey,2.0,Exceeds my expectations!??,
C00553,Email,3.0,"Overall, a decent experience.*",2024-05-18
C00136,Social Media,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-09-16
C00741,Social Media,5.0,Exceeds my expectations!??,2024-08-22
C00958,Survey,4.0,Would definitly recommend!*,2024-05-18
C00904,Social Media,4.0,T0tally satisfi3d!,2024-01-18
C00585,Survey,1.0,The best experience i've had!,2023-11-20
C00591,Survey,3.0,Good but could be better.??,2024-08-01
C00485,Social Media,4.0,Very responsive and helpful!*,2024-02-12
C00249,Social Media,4.0,Not worth the price.,2024-09-23
C00804,Social Media,5.0,The servise was grate!,2024-03-22
C00485,Social Media,5.0,Very responsive and helpful!*,2024-07-16
C00827,Social Media,1.0,Very poor qualty for the price.,2024-08-24
C00417,Email,,,2024-11-01
C00195,Email,4.0,Would definitly recommend!*,2023-12-19
C00097,Survey,1.0,"Overall, a decent experience.*",2023-11-06
C00100,Survey,2.0,Too slow response time.,2023-11-10
C00675,Survey,,Too slow response time.,2024-04-29
C00442,Social Media,2.0,Not worth the price.,
C00363,Survey,1.0,Good but could be better.??,2024-03-01
C00434,Survey,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",
C00421,Social Media,1.0,Not worth the price.,2024-10-08
,Email,3.0,Very responsive and helpful!*,2024-09-24
C00885,Survey,4.0,Satisfied with the service.,2024-09-24
C00747,Social Media,1.0,The best experience i've had!,2024-09-24
C00056,Survey,4.0,Very responsive and helpful!*,2024-05-03
C00690,Email,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-07-14
C00670,Survey,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-01-10
C00662,Email,3.0,Exceeds my expectations!??,2024-01-11
C00101,,3.0,"Overall, a decent experience.*",2024-08-13
C00063,Social Media,2.0,The servise was grate!,2024-09-21
C00413,Survey,3.0,The best experience i've had!,2024-06-25
C00746,Survey,4.0,Not worth the price.,
C00348,Email,1.0,Not worth the price.,2024-10-30
C00820,Social Media,3.0,"Overall, a decent experience.*",2024-02-16
,Social Media,4.0,Very responsive and helpful!*,2024-01-24
,Email,3.0,The servise was grate!,2024-01-18
C00255,Email,2.0,The best experience i've had!,2023-11-20
C00197,Survey,2.0,Good but could be better.??,2023-11-28
C00195,Email,5.0,Satisfied with the service.,2024-09-30
C00550,Social Media,5.0,Not worth the price.,2024-10-08
C00460,Social Media,3.0,Good but could be better.??,2024-06-29
C00144,,4.0,Terrible custmer support.!!!,
,Survey,3.0,Very responsive and helpful!*,2024-08-17
C00188,Social Media,2.0,The best experience i've had!,2024-04-26
C00286,,4.0,Could improve produtc qualty....,2024-09-15
C00474,Social Media,1.0,,2024-07-14
C00256,Email,3.0,Exceeds my expectations!??,2024-01-09
C00896,Survey,3.0,T0tally satisfi3d!,2024-03-14
C00946,Email,5.0,Terrible custmer support.!!!,2024-02-10
C00078,Survey,5.0,Would definitly recommend!*,2024-08-15
C00454,Email,2.0,Terrible custmer support.!!!,2024-06-29
C00828,Survey,3.0,T0tally satisfi3d!,2024-01-06
,Survey,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-01-18
C00877,,1.0,Satisfied with the service.,2024-09-12
C00564,Survey,1.0,Not worth the price.,2024-05-02
C00101,Social Media,4.0,The best experience i've had!,2023-12-20
C00052,Social Media,3.0,Not worth the price.,2024-04-04
C00668,,5.0,T0tally satisfi3d!,2024-04-24
C00554,Social Media,4.0,Very responsive and helpful!*,2024-02-08
C00857,Survey,2.0,Would definitly recommend!*,2023-11-27
C00016,Email,4.0,Very poor qualty for the price.,2024-04-22
C00993,Social Media,2.0,Very responsive and helpful!*,2024-10-16
C00096,Email,3.0,Terrible custmer support.!!!,2024-07-24
C00949,Survey,4.0,Satisfied with the service.,2024-09-28
,Email,3.0,,2023-11-16
C00870,Social Media,3.0,Not worth the price.,2024-10-31
C00243,Email,4.0,T0tally satisfi3d!,2024-01-19
C00171,Email,3.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-09-23
C00417,Survey,2.0,Exceeds my expectations!??,
C00498,Email,2.0,The best experience i've had!,2024-05-27
C00493,Social Media,3.0,Very poor qualty for the price.,2023-11-13
C00219,Social Media,1.0,The servise was grate!,2024-05-17
C00886,,1.0,Not worth the price.,2023-11-27
C00411,Email,2.0,Satisfied with the service.,2024-03-31
C00925,Survey,5.0,Good but could be better.??,2024-08-13
C00061,Social Media,3.0,T0tally satisfi3d!,2023-11-19
C00169,Survey,,The servise was grate!,
,Survey,5.0,Too slow response time.,2024-02-06
C00003,Email,,"Overall, a decent experience.*",
C00400,Email,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2023-11-11
C00272,Survey,5.0,Satisfied with the service.,2024-06-06
C00949,Survey,2.0,Satisfied with the service.,2024-05-06
C00803,,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-04-06
C00804,Email,5.0,Not worth the price.,2024-07-06
C00466,Survey,1.0,Very poor qualty for the price.,2024-03-18
C00293,Social Media,2.0,Good but could be better.??,2024-06-22
C00434,Email,1.0,Terrible custmer support.!!!,2024-05-27
C00714,Email,1.0,Very responsive and helpful!*,2024-10-24
C00981,Email,5.0,The servise was grate!,2024-09-10
C00749,Social Media,4.0,T0tally satisfi3d!,2024-04-27
C00803,Social Media,3.0,Would definitly recommend!*,2023-11-26
,Social Media,2.0,Too slow response time.,2024-08-27
C00678,Social Media,3.0,Would definitly recommend!*,2023-11-16
C00736,Social Media,5.0,Too slow response time.,2024-03-15
C00499,Survey,3.0,Terrible custmer support.!!!,2023-12-17
C00159,Survey,4.0,,2024-09-24
C00195,Email,2.0,The servise was grate!,2024-07-19
C00304,Social Media,4.0,Would definitly recommend!*,2024-08-30
,Survey,1.0,Too slow response time.,2024-07-20
C00992,Survey,3.0,The servise was grate!,2024-04-22
C00060,Social Media,5.0,Good but could be better.??,2024-06-15
C00594,Social Media,5.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-05-23
C00754,Social Media,1.0,Exceeds my expectations!??,2024-10-22
C00556,Email,3.0,Very poor qualty for the price.,2024-03-16
C00063,Survey,2.0,Too slow response time.,2024-02-17
C00766,Social Media,4.0,Very responsive and helpful!*,
C00322,Email,1.0,The best experience i've had!,2023-12-23
C00059,Social Media,2.0,Terrible custmer support.!!!,2024-05-22
C00052,Social Media,5.0,Very poor qualty for the price.,2024-04-21
C00599,Social Media,2.0,Not worth the price.,2024-09-21
C00489,Survey,3.0,T0tally satisfi3d!,2024-05-04
C00515,Social Media,1.0,Could improve produtc qualty....,2024-06-12
C00942,Survey,4.0,Satisfied with the service.,2024-01-12
C00874,Survey,2.0,Would definitly recommend!*,
C00544,Email,2.0,Very poor qualty for the price.,2024-07-25
C00162,Email,2.0,Exceeds my expectations!??,2024-08-17
C00059,,2.0,,2024-07-13
C00984,Survey,4.0,Not worth the price.,2024-08-02
C00521,Social Media,2.0,"Overall, a decent experience.*",2024-07-22
,Social Media,2.0,Too slow response time.,2024-07-23
C00872,Survey,1.0,,2024-06-18
C00191,Survey,3.0,,2024-05-18
C00071,Social Media,2.0,Terrible custmer support.!!!,2024-04-30
C00610,Social Media,1.0,Good but could be better.??,2024-06-09
C00070,Social Media,5.0,Good but could be better.??,2024-10-26
C00692,Social Media,4.0,T0tally satisfi3d!,2024-09-14
C00883,Email,4.0,Would definitly recommend!*,2024-09-19
C00241,Social Media,4.0,Not worth the price.,
C00414,,5.0,The best experience i've had!,2023-12-12
C00123,Survey,5.0,The servise was grate!,2024-02-18
C00965,Social Media,5.0,T0tally satisfi3d!,2024-05-22
C00912,Social Media,2.0,The best experience i've had!,2024-10-07
C00584,Survey,4.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2023-12-01
C00253,Survey,2.0,Very poor qualty for the price.,2024-06-05
C00593,Email,5.0,Satisfied with the service.,2024-10-01
C00609,Survey,5.0,The best experience i've had!,2024-01-09
C00041,Survey,4.0,The best experience i've had!,2024-01-14
C00635,Survey,5.0,T0tally satisfi3d!,2024-09-02
C00084,Email,4.0,Would definitly recommend!*,2023-11-16
C00430,Survey,,Would definitly recommend!*,2023-12-20
C00674,,3.0,"Overall, a decent experience.*",2023-12-25
C00598,Survey,3.0,Very responsive and helpful!*,2024-02-12
C00579,Survey,4.0,Not worth the price.,2024-08-15
C00536,Email,3.0,Exceeds my expectations!??,2024-05-18
C00324,Social Media,,Could improve produtc qualty....,2023-11-09
C00958,Survey,2.0,Very poor qualty for the price.,2024-03-27
C00268,Email,3.0,T0tally satisfi3d!,2024-07-08
,Survey,5.0,Exceeds my expectations!??,2024-09-01
C00686,Email,3.0,The servise was grate!,2024-03-25
C00734,Email,1.0,Terrible custmer support.!!!,2024-10-10
C00322,Email,2.0,Exceeds my expectations!??,2024-06-20
C00245,Social Media,3.0,Too slow response time.,2023-12-15
C00272,Email,2.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-08-26
C00406,Survey,5.0,"Overall, a decent experience.*",2024-09-15
C00135,Email,5.0,Very responsive and helpful!*,2023-11-12
C00688,Survey,2.0,Exceeds my expectations!??,2024-02-22
C00661,Social Media,1.0,Very responsive and helpful!*,2024-07-22
C00308,Social Media,5.0,The best experience i've had!,2023-11-13
C00469,Email,4.0,Terrible custmer support.!!!,2024-02-19
C00324,Survey,,Exceeds my expectations!??,2024-04-21
C00952,Social Media,3.0,Not worth the price.,2024-01-06
C00770,Social Media,1.0,T0tally satisfi3d!,2024-03-15
C00959,Email,5.0,Exceeds my expectations!??,2024-07-28
C00075,Email,2.0,Very responsive and helpful!*,2024-08-31
C00010,Email,3.0,The best experience i've had!,2024-04-18
C00470,Survey,5.0,T0tally satisfi3d!,2024-03-09
C00637,Email,2.0,Terrible custmer support.!!!,2024-08-17
C00577,Email,4.0,Very responsive and helpful!*,2024-01-30
C00103,Survey,3.0,The servise was grate!,2024-08-22
C00076,,5.0,T0tally satisfi3d!,2024-04-01
,Email,1.0,,2024-04-10
C00219,Survey,4.0,Very responsive and helpful!*,2023-12-12
C00519,Survey,5.0,Good but could be better.??,2024-09-01
C00272,Email,,Very responsive and helpful!*,2024-11-03
C00136,Survey,4.0,The best experience i've had!,2024-01-06
C00956,Email,5.0,Could improve produtc qualty....,2024-03-16
C00358,Email,4.0,Could improve produtc qualty....,2024-06-27
C00903,Survey,1.0,Too slow response time.,2024-08-19
C00071,Email,2.0,Could improve produtc qualty....,2023-11-29
C00901,Social Media,1.0,,2024-05-08
C00251,Survey,5.0,The best experience i've had!,2024-03-03
C00379,Survey,4.0,Exceeds my expectations!??,2024-04-10
C00292,,5.0,Would definitly recommend!*,2024-06-17
C00162,Email,1.0,Good but could be better.??,2024-01-09
C00449,Email,3.0,Satisfied with the service.,2024-08-18
C00854,Survey,4.0,The best experience i've had!,2024-03-06
C00557,Email,2.0,Not worth the price.,2024-09-01
C00721,Social Media,1.0,Very poor qualty for the price.,2024-05-06
C00310,Social Media,,Could improve produtc qualty....,2023-12-22
C00627,Social Media,1.0,The best experience i've had!,2024-06-01
C00827,Survey,3.0,Could improve produtc qualty....,2024-07-04
C00670,Email,5.0,Not worth the price.,2024-02-23
C00542,Survey,3.0,Very responsive and helpful!*,2024-09-27
C00009,Social Media,1.0,The servise was grate!,2023-12-03
C00684,Social Media,5.0,Too slow response time.,2024-08-19
C00837,Social Media,4.0,"Overall, a decent experience.*",2024-04-22
C00568,Survey,4.0,,2024-02-26
C00307,Survey,2.0,Very poor qualty for the price.,2024-01-08
C00955,Social Media,4.0,Satisfied with the service.,2024-10-06
C00680,Social Media,2.0,"N33ds impr0v3m3nt, 3sp3cialy in supp0rt.",2024-05-24
C00107,Email,4.0,Would definitly recommend!*,
C00962,Email,3.0,Could improve produtc qualty....,2023-11-09
