Date,Store ID,Product ID,Units Sold,Sales Amount,Discount Applied,Customer Segment
,S006,P004,52.0,3125.57,5.11,Premium
,S004,P049,163.0,3164.48,15.67,Regular
11-28-2024,S038,P066,36.0,1349.26,,Regular
2024-11-28,S045,P071,67.0,2710.07,14.93,Premium
2024-11-06,S004,P013,172.0,2517.35,0.59,New
11-21-2024,S013,P007,129.0,3545.49,18.97,Regular
12/11/2024,S019,P017,50.0,3408.83,8.72,New
11-24-2024,S044,P054,153.0,4913.87,18.35,Regular
07/11/2024,S018,P096,13.0,3656.91,14.0,Premium
11-16-2024,S025,P071,78.0,1572.51,19.49,Regular
,S009,P030,189.0,3647.51,,Regular
28/11/2024,S025,P035,178.0,3142.01,14.07,New
13/11/2024,S033,P038,163.0,3963.84,,Premium
11-20-2024,S021,P065,31.0,538.76,,Premium
16/11/2024,S044,P027,19.0,4945.7,1.87,Regular
30/11/2024,S013,,73.0,1929.15,7.54,
11-26-2024,S049,P013,132.0,4466.68,,New
11-15-2024,S049,P061,159.0,1590.39,2.4,New
2024-11-18,S008,P041,11.0,1856.85,13.89,New
,S025,P090,109.0,4836.17,7.62,New
17/11/2024,S042,P090,177.0,1285.16,,Premium
2024-11-03,S005,P016,112.0,4572.43,1.09,Premium
11-23-2024,S027,P003,179.0,263.02,8.65,Regular
12/11/2024,S045,P086,22.0,171.47,,Premium
29/11/2024,S022,P006,,2876.69,12.38,Regular
02/11/2024,S027,P008,167.0,3659.62,19.65,Premium
2024-11-17,S022,P072,43.0,364.08,18.26,New
,S040,P006,198.0,3650.35,7.72,New
24/11/2024,S024,P067,92.0,2164.99,19.56,New
2024-11-24,S042,P059,25.0,,,Premium
07/11/2024,S004,P057,87.0,1404.05,10.48,Regular
2024-11-26,S041,P051,7.0,3934.48,14.22,Premium
2024-11-28,S008,P064,5.0,4271.04,4.73,New
11-05-2024,S020,P064,86.0,1877.41,18.53,Premium
11-06-2024,S023,P057,54.0,4893.7,6.44,Premium
11-27-2024,S019,P073,192.0,2087.29,,Regular
07/11/2024,S029,P089,179.0,980.91,16.38,New
2024-11-16,S012,P002,76.0,3465.78,7.66,Premium
11-20-2024,S032,P073,190.0,4832.41,17.15,New
21/11/2024,S048,P075,44.0,724.8,2.16,Premium
11-05-2024,S019,P011,187.0,2008.47,9.72,
11-25-2024,S007,,59.0,4071.3,16.47,Regular
2024-11-14,S049,P055,33.0,474.88,7.7,New
05/11/2024,S015,P028,31.0,1770.19,3.96,
,S021,P091,90.0,3714.76,5.78,Premium
2024-11-08,S019,P056,85.0,4416.05,10.53,Regular
2024-11-14,S040,P018,100.0,3551.48,15.97,New
11-13-2024,S012,P020,37.0,2641.3,14.42,Premium
2024-11-21,S018,,135.0,2174.97,6.17,Premium
11-07-2024,S031,,106.0,886.7,2.28,Regular
15/11/2024,S006,P032,185.0,100.46,1.1,Premium
15/11/2024,S007,P036,64.0,3000.34,0.43,Regular
11-24-2024,S048,P071,111.0,2322.2,11.64,New
11-11-2024,S030,P005,190.0,931.1,1.96,New
14/11/2024,S036,P036,100.0,,9.67,New
05/11/2024,S030,P028,161.0,4417.49,11.24,New
11-10-2024,S022,P023,55.0,692.63,3.98,Regular
12/11/2024,S020,P078,97.0,4603.1,,Premium
11-14-2024,S039,P016,70.0,2584.07,17.16,Regular
2024-11-27,S003,P044,197.0,,19.2,Premium
11-03-2024,S013,P085,54.0,98.1,4.53,Premium
2024-11-04,S006,P039,40.0,2002.2,4.92,Regular
2024-11-05,S039,P091,168.0,1159.9,16.65,Regular
11-24-2024,S001,P010,62.0,,5.64,Regular
11-22-2024,S025,,109.0,,11.1,Premium
11-02-2024,S035,P004,7.0,,15.11,Regular
08/11/2024,S033,P058,,3538.77,6.34,Regular
11-16-2024,S005,P092,13.0,2953.56,7.87,Premium
30/11/2024,S037,P092,17.0,4650.51,10.86,Premium
11-22-2024,S029,P046,55.0,3644.86,13.69,New
11-11-2024,S026,P001,110.0,2653.74,,Premium
28/11/2024,S030,P088,160.0,4162.43,,Regular
,S021,P068,64.0,2049.39,13.44,Regular
23/11/2024,S044,P029,77.0,524.35,13.04,Regular
11-03-2024,S017,P010,14.0,1723.25,13.72,Premium
11-28-2024,S010,P067,35.0,2374.95,,Premium
03/11/2024,S034,P013,86.0,2698.7,11.86,New
,S035,P088,86.0,4648.04,18.76,Premium
,S013,P050,176.0,4433.69,17.18,Premium
21/11/2024,S005,P015,11.0,2489.82,10.94,Regular
01/11/2024,S020,P084,160.0,4752.92,15.33,Premium
29/11/2024,S004,,14.0,2247.28,16.07,Premium
23/11/2024,S037,P018,112.0,1283.45,6.45,Premium
12/11/2024,S004,P007,126.0,1498.62,5.79,Regular
2024-11-27,,P061,168.0,4822.8,3.39,New
11-21-2024,S039,P032,18.0,1162.16,,Regular
20/11/2024,S001,P099,26.0,4944.94,6.15,Regular
30/11/2024,S031,P006,71.0,1251.6,,New
11-08-2024,S044,P040,10.0,3049.23,13.04,Regular
07/11/2024,S017,P099,47.0,4971.55,4.31,Regular
08/11/2024,S021,P037,55.0,1257.82,18.69,Premium
2024-11-05,S049,P070,10.0,1427.81,13.37,Regular
,S023,P051,,1217.85,6.77,Premium
,S026,P050,121.0,,3.28,Regular
2024-11-04,S043,P032,88.0,2743.28,1.76,Premium
11-11-2024,,P073,43.0,485.61,18.28,New
,S024,P031,176.0,2885.67,8.01,Premium
11-25-2024,S030,P001,5.0,,14.08,Premium
2024-11-13,S009,P024,43.0,2397.01,17.67,Regular
16/11/2024,S043,P044,36.0,491.92,15.16,New
11-14-2024,S028,P025,,4450.54,,Premium
11-28-2024,,P014,166.0,4688.78,0.8,New
18/11/2024,S029,P079,98.0,3261.04,1.9,New
11-10-2024,S016,P043,94.0,1361.96,12.64,New
11-15-2024,S043,P069,3.0,1045.6,4.63,Regular
02/11/2024,S006,P057,85.0,4458.89,19.87,New
2024-11-25,S037,P072,,2398.61,6.28,Premium
11-23-2024,S023,P028,152.0,1651.47,0.39,Premium
2024-11-20,S028,,103.0,1760.43,0.93,Premium
2024-11-08,S046,P088,153.0,1338.88,17.12,Regular
2024-11-17,S023,P026,124.0,2969.77,9.08,New
11-17-2024,S012,P092,169.0,1817.69,1.35,Premium
11-25-2024,,P031,198.0,696.66,2.85,Premium
11-06-2024,S013,P083,185.0,3238.65,10.55,Regular
11-24-2024,S004,,36.0,28.03,14.24,Regular
11-10-2024,S011,P075,12.0,2618.31,1.12,Regular
2024-11-16,S030,P049,,2058.48,7.08,Regular
2024-11-08,,,24.0,260.38,15.22,New
2024-11-22,S047,,182.0,3632.34,8.22,Regular
2024-11-24,S015,P046,48.0,2303.83,19.12,
,S011,P053,48.0,4656.94,3.46,Premium
11-29-2024,S035,,,2095.99,6.75,Premium
2024-11-23,S035,P071,164.0,1707.91,9.36,New
23/11/2024,S033,P044,89.0,2867.99,11.75,New
11-10-2024,S032,P035,65.0,4219.05,5.78,New
,S005,P056,161.0,1748.97,16.7,Premium
11-05-2024,S034,P069,43.0,3400.93,4.66,New
2024-11-10,S021,P071,70.0,721.98,11.24,Regular
,S009,P055,109.0,2976.91,5.54,Regular
11-16-2024,S016,P080,102.0,2665.41,,New
2024-11-03,S037,P092,,2482.18,18.54,Regular
21/11/2024,S016,P056,137.0,1023.29,2.8,New
11-26-2024,S042,P100,196.0,3753.68,,Regular
05/11/2024,S008,P012,,3477.57,10.75,Premium
2024-11-04,S027,P054,50.0,146.99,2.84,New
11-10-2024,S027,P080,,2535.15,5.26,Premium
2024-11-04,S018,P072,55.0,1942.62,9.48,Premium
,S028,P081,30.0,1392.26,,Regular
19/11/2024,S008,P030,11.0,2282.29,15.31,Regular
13/11/2024,S044,P067,170.0,3456.76,15.69,New
2024-11-19,S023,P055,20.0,3597.41,7.75,Regular
11-12-2024,S013,P070,137.0,4446.51,18.38,New
03/11/2024,S031,P054,,,12.52,New
2024-11-05,S006,P075,13.0,3352.7,19.48,New
,S001,,30.0,3704.96,12.73,Premium
11-17-2024,S046,P016,148.0,1642.47,12.93,New
11-06-2024,S030,P066,195.0,1542.5,10.26,New
11-13-2024,S033,P047,178.0,91.91,16.75,New
11-13-2024,S007,P091,45.0,1665.6,19.54,
,S048,P034,81.0,3035.47,11.33,New
2024-11-04,S036,P094,93.0,849.99,17.69,New
,S039,P053,67.0,206.47,11.19,New
2024-11-07,S031,P033,84.0,1917.71,16.28,Regular
2024-11-01,S047,P098,49.0,1980.87,4.35,Regular
2024-11-07,S017,P055,69.0,3827.67,7.03,Premium
10/11/2024,S018,P071,116.0,1936.59,4.59,Regular
11-16-2024,S021,P079,57.0,,5.19,Regular
2024-11-10,S039,P047,37.0,4664.01,1.97,Regular
2024-11-20,S011,P041,101.0,,8.1,Premium
11-29-2024,S016,P037,113.0,4578.05,8.06,
2024-11-17,S005,P048,192.0,3366.04,14.17,New
19/11/2024,S049,P069,43.0,2399.88,7.43,New
11-23-2024,S018,P003,157.0,3709.62,0.15,Regular
11-07-2024,S027,P062,33.0,,,Premium
2024-11-20,S050,P022,188.0,581.28,4.37,Premium
2024-11-08,S023,P034,84.0,1922.5,3.2,Regular
,,P075,183.0,2132.5,,
11-22-2024,S008,P069,142.0,3951.56,9.18,New
2024-11-12,S046,P040,27.0,1968.99,8.93,
,S006,P027,161.0,,13.68,Regular
11-07-2024,S008,P016,54.0,4334.83,5.39,New
,S032,P062,174.0,3707.89,15.02,New
2024-11-15,S002,P061,89.0,2531.63,18.75,New
2024-11-26,S013,P073,150.0,484.36,,Regular
29/11/2024,S044,,112.0,69.9,19.68,Regular
11-30-2024,S005,P063,162.0,2462.75,10.22,Regular
11-17-2024,S029,,78.0,1782.07,16.05,New
2024-11-05,S012,P031,147.0,3714.94,8.74,Premium
2024-11-13,S021,P088,23.0,2953.77,18.33,Premium
11-11-2024,S025,P100,31.0,3684.83,6.66,New
11-28-2024,S019,P009,127.0,4553.92,0.16,Premium
11-18-2024,S006,P095,136.0,1457.86,5.39,New
2024-11-01,S003,P049,177.0,2099.21,18.12,
2024-11-16,S017,,111.0,1551.08,10.26,Premium
30/11/2024,S040,P031,14.0,4828.84,7.51,New
11-14-2024,S038,P059,107.0,4513.34,3.1,Premium
2024-11-13,S034,P059,82.0,3981.26,15.8,Regular
03/11/2024,S040,P083,44.0,4477.3,15.83,Premium
24/11/2024,S038,P075,60.0,2222.53,11.91,New
,S041,P048,62.0,3532.06,14.88,New
2024-11-09,S041,P065,171.0,1219.22,6.1,Premium
,S048,P036,96.0,250.14,17.49,Regular
11-24-2024,S042,P039,115.0,3499.78,17.48,New
11-11-2024,S025,P099,39.0,3340.46,5.97,New
2024-11-20,S046,P097,96.0,2086.84,1.94,Premium
23/11/2024,S034,P095,71.0,3967.36,,New
2024-11-02,S050,P043,76.0,3145.39,8.3,New
2024-11-11,S038,P075,137.0,1142.58,10.16,New
11-20-2024,S006,P041,180.0,1163.07,0.73,New
03/11/2024,S044,P097,,2256.52,3.8,Premium
2024-11-06,S015,P028,6.0,1270.44,,New
14/11/2024,S047,P079,60.0,4531.05,,Premium
11/11/2024,S011,P001,18.0,2685.79,10.03,Premium
07/11/2024,S011,P055,42.0,1160.25,0.38,Regular
2024-11-06,S006,P046,136.0,2138.58,19.93,
11-23-2024,S016,P031,141.0,555.57,0.53,New
11-28-2024,S019,P003,37.0,538.34,8.15,Regular
11-17-2024,S021,P084,22.0,1989.26,18.57,New
,S042,P053,107.0,2690.02,11.01,New
2024-11-28,S003,P082,137.0,2284.67,11.39,Regular
,S045,P043,107.0,949.57,2.99,Regular
21/11/2024,S014,P040,,718.68,,Premium
21/11/2024,S033,P042,155.0,2356.05,14.63,New
2024-11-03,S010,P061,18.0,1034.01,1.58,Premium
2024-11-28,S039,P047,154.0,,,New
22/11/2024,S042,P016,61.0,1693.34,3.71,New
2024-11-20,S021,P059,198.0,3533.58,13.25,Premium
2024-11-10,S027,P025,178.0,214.04,7.94,Premium
2024-11-15,S030,P071,33.0,4972.53,8.84,
08/11/2024,S044,P094,19.0,4155.28,7.6,New
11-23-2024,S011,P029,157.0,1897.7,0.41,Regular
2024-11-11,S031,P027,96.0,107.18,3.25,New
11-10-2024,S023,,109.0,1085.57,9.47,Regular
03/11/2024,S031,P070,102.0,3891.39,9.63,Premium
2024-11-20,S043,P075,80.0,3462.03,11.04,Premium
11-30-2024,S038,P012,120.0,4712.93,2.31,New
11-02-2024,S012,P005,19.0,4134.02,15.32,Regular
11-10-2024,S020,P099,73.0,1917.76,,New
11-09-2024,S009,P025,117.0,1388.99,18.56,New
11-07-2024,S048,P096,181.0,4542.44,15.7,New
2024-11-05,S034,P076,97.0,682.35,2.46,Regular
11-02-2024,S008,P009,90.0,2019.89,7.67,New
19/11/2024,S008,P021,114.0,2698.0,14.82,
15/11/2024,S030,P036,152.0,1281.87,8.56,Regular
11-03-2024,S038,P072,1.0,3199.74,4.75,New
2024-11-04,S032,P091,4.0,,19.18,Premium
11-24-2024,S019,P061,21.0,1429.35,4.56,Premium
29/11/2024,S020,P070,112.0,1940.23,8.51,New
,S002,P021,39.0,,16.94,Regular
2024-11-21,S042,P035,100.0,47789.074844190545,9.39,Premium
08/11/2024,S015,P087,134.0,3781.78,8.97,Premium
2024-11-11,S030,P076,34.0,3464.58,10.53,New
2024-11-04,S037,P084,52.0,435.83,10.94,New
11-15-2024,S045,P095,152.0,3436.4,16.75,
11-30-2024,S035,P025,108.0,4158.54,7.04,Premium
13/11/2024,S022,P091,14.0,613.9,15.57,New
16/11/2024,S013,P047,137.0,572.49,9.73,New
2024-11-09,S006,P033,43.0,2851.58,8.21,New
2024-11-17,S017,P048,134.0,1387.99,10.49,New
2024-11-14,S050,P074,157.0,86.76,0.49,Regular
23/11/2024,S039,P044,38.0,450.2,9.24,Premium
05/11/2024,S025,P092,,1963.55,,New
2024-11-03,S013,P012,171.0,1350.99,11.62,Regular
11-10-2024,S034,,164.0,4245.49,17.49,Regular
11-10-2024,S009,P050,150.0,1456.86,6.51,Regular
11/11/2024,S042,P006,150.0,825.82,11.95,Regular
11-14-2024,S018,P100,127.0,3461.47,6.36,New
2024-11-17,S011,P076,118.0,4590.4,18.13,New
16/11/2024,S038,P002,9.0,,0.06,New
18/11/2024,S014,,144.0,922.93,7.85,
11-19-2024,S048,P011,73.0,3575.75,14.36,Premium
11-19-2024,S010,P093,81.0,1327.25,6.63,Regular
2024-11-04,S002,P045,111.0,1300.55,1.57,Premium
19/11/2024,S017,P009,31.0,1019.51,10.82,New
2024-11-01,S022,P098,,1007.28,,New
2024-11-03,S008,P041,118.0,40.72,15.0,Regular
,,P071,62.0,3437.27,4.03,Regular
,S018,P027,110.0,4129.17,,
2024-11-04,S045,P084,49.0,728.13,13.92,Premium
12/11/2024,S040,P016,44.0,1670.26,17.77,Regular
11-09-2024,S037,P048,104.0,2963.29,5.07,Regular
20/11/2024,S042,P010,154.0,4780.52,16.17,Regular
23/11/2024,S013,P054,191.0,824.98,11.33,Premium
2024-11-20,S036,P026,117.0,4594.61,19.28,New
10/11/2024,S050,P072,189.0,262.93,7.11,Regular
01/11/2024,S019,P030,94.0,1672.93,,Premium
18/11/2024,S018,P017,75.0,,4.87,New
11-02-2024,S035,P016,32.0,1139.23,,
11-07-2024,S030,P013,135.0,1530.24,11.69,New
15/11/2024,S018,P063,38.0,,13.92,Premium
13/11/2024,S016,P009,53.0,847.72,6.29,Regular
11-04-2024,S017,,167.0,1375.31,1.36,New
11-10-2024,S034,P027,200.0,773.8,16.92,Regular
2024-11-06,S018,P063,86.0,1504.07,3.33,Premium
2024-11-26,S029,P067,79.0,473.87,18.88,Regular
11-26-2024,S005,,82.0,534.94,,Premium
26/11/2024,S020,P099,136.0,3895.52,15.62,Regular
14/11/2024,S034,P089,143.0,2905.6,6.55,Premium
11-30-2024,S011,P081,173.0,3116.17,1.44,New
30/11/2024,S007,P033,123.0,982.36,12.88,Premium
11-02-2024,S017,P074,187.0,1351.05,12.77,Premium
11-21-2024,S013,P046,81.0,1266.48,1.06,Premium
12/11/2024,S022,P092,129.0,2337.37,9.51,Premium
23/11/2024,S015,P032,75.0,1359.44,1.63,Premium
2024-11-16,,P059,189.0,3023.0,7.97,Regular
25/11/2024,,P013,72.0,2861.78,5.81,New
2024-11-30,S021,P023,186.0,3254.68,,Regular
2024-11-05,S003,P032,36.0,2907.1,15.28,Premium
04/11/2024,S039,P004,179.0,2670.85,8.57,New
2024-11-22,S025,P029,32.0,575.57,19.2,Regular
11-30-2024,S015,P036,117.0,2107.23,12.91,Regular
2024-11-01,S020,P087,63.0,1838.25,12.18,New
11-08-2024,S030,P086,32.0,293.77,13.14,Regular
11-07-2024,S040,P045,54.0,2892.8,0.12,
2024-11-14,S009,P074,198.0,1916.38,2.68,Premium
2024-11-13,S006,,63.0,2925.52,4.22,
11-27-2024,,P075,3.0,3737.92,8.14,New
2024-11-09,S009,P020,98.0,4478.74,3.65,Premium
2024-11-01,S045,P088,129.0,3438.18,2.22,Regular
2024-11-15,S014,,182.0,1247.55,17.79,New
2024-11-19,S027,P051,180.0,914.75,6.92,Regular
,S037,P053,642.0,3508.5,6.15,New
19/11/2024,S030,P083,72.0,4086.74,,Premium
2024-11-05,S006,P077,49.0,,9.42,New
2024-11-02,S023,P086,84.0,3231.13,17.97,New
,S006,P026,17.0,1913.01,1.6,Premium
11/11/2024,S033,P096,16.0,560.73,18.16,Premium
23/11/2024,S043,P097,133.0,3938.85,5.03,New
,S043,P090,7.0,1483.25,9.42,Regular
11-11-2024,S014,P010,155.0,1025.45,19.34,Premium
11-14-2024,S047,P022,15.0,,11.2,Regular
11-04-2024,S026,P093,46.0,4007.61,13.82,New
26/11/2024,S025,P088,197.0,141.55,8.38,Regular
11-10-2024,S001,P065,197.0,,13.62,New
16/11/2024,S023,P084,20.0,4846.2,11.05,Regular
,S042,P008,9.0,2022.46,12.19,New
18/11/2024,S023,P009,94.0,3371.36,16.7,Premium
14/11/2024,S008,P014,37.0,4240.44,2.27,New
30/11/2024,S008,P034,44.0,1796.38,19.25,Premium
11-05-2024,S009,P015,,3644.84,16.83,Premium
,S022,P012,106.0,977.05,1.36,Premium
11-05-2024,S018,P076,66.0,2594.52,5.94,New
26/11/2024,S012,P025,84.0,1505.34,17.72,New
2024-11-14,S044,P047,149.0,4974.16,1.7,Premium
2024-11-24,S048,P050,176.0,,8.64,New
2024-11-23,S009,P097,58.0,4071.86,4.74,New
20/11/2024,S049,P004,68.0,1107.97,19.31,Premium
11-06-2024,S029,P049,168.0,3730.66,1.96,New
2024-11-18,S015,P049,104.0,451.13,,Premium
11-26-2024,S029,P079,178.0,201.76,13.06,New
30/11/2024,S022,P064,,2335.63,9.08,Regular
05/11/2024,S003,P016,34.0,3267.64,18.41,New
13/11/2024,S022,P066,790.0,2315.44,18.7,New
11-17-2024,S025,P094,144.0,4553.62,8.83,Regular
2024-11-18,S021,,187.0,2502.51,12.9,
11-08-2024,S015,P047,24.0,1919.58,4.01,Premium
2024-11-29,S002,P006,126.0,556.2,2.57,Premium
11-01-2024,S022,P060,110.0,3952.56,14.57,Premium
2024-11-19,S026,P089,91.0,3688.92,,
,S015,P039,70.0,2717.37,14.02,Premium
19/11/2024,S021,P010,25.0,1898.8,1.32,Regular
11-04-2024,S031,P061,87.0,357.65,,Regular
11-15-2024,S045,P023,114.0,1878.76,1.46,New
,S013,P039,25.0,3197.25,,
2024-11-18,S003,P037,,2465.77,1.82,Regular
29/11/2024,S050,P078,72.0,,17.88,New
11-09-2024,S001,P088,108.0,,6.01,Premium
2024-11-26,S012,P060,24.0,3042.75,3.0,New
11-15-2024,S017,P090,34.0,4167.64,4.47,New
11-13-2024,S045,P049,92.0,3386.93,1.18,Regular
11-23-2024,S001,P006,23.0,4890.33,4.58,Regular
11-29-2024,S049,P042,73.0,4218.3,13.01,Regular
11-29-2024,S009,P016,136.0,4904.83,5.3,
03/11/2024,S026,P011,104.0,1981.5,,Premium
19/11/2024,S045,P034,86.0,306.55,10.9,New
11-25-2024,S019,,8.0,4175.78,12.51,New
03/11/2024,S012,P085,28.0,4503.43,2.7,Premium
2024-11-23,S014,P071,28.0,772.43,2.24,New
11-12-2024,S026,P012,69.0,1332.84,5.06,Regular
2024-11-02,S023,P021,24.0,2477.86,7.44,Premium
,S021,P055,117.0,2621.12,,New
11-07-2024,S027,P062,,4485.67,19.51,
2024-11-27,S013,P085,126.0,3436.17,10.02,New
2024-11-21,S027,P026,107.0,4396.35,12.87,Premium
28/11/2024,S023,P002,2.0,1183.85,16.83,New
,S039,P023,20.0,3785.94,3.48,Regular
11-24-2024,S047,P090,188.0,3526.4,19.11,Regular
28/11/2024,S017,P100,,1112.5,6.95,
,S030,P088,197.0,2780.0,19.8,Premium
2024-11-28,S042,P035,178.0,3923.21,2.12,New
21/11/2024,S035,P024,187.0,1624.77,1.04,New
21/11/2024,S012,P035,28.0,1378.7,0.96,New
09/11/2024,S017,P043,53.0,,5.46,Premium
2024-11-25,S005,P022,100.0,21.51,10.2,Regular
2024-11-21,S035,P021,148.0,1933.68,2.94,Premium
2024-11-14,S022,P034,176.0,2467.39,,Premium
2024-11-24,S036,P005,108.0,2810.67,,Regular
10/11/2024,S008,P030,49.0,2689.96,16.28,Regular
11-13-2024,S048,P074,15.0,4084.47,17.79,New
11-19-2024,S004,P050,34.0,3557.71,6.26,New
11-11-2024,S024,P012,17.0,1857.37,6.09,Regular
2024-11-29,S050,P023,7.0,4939.9,9.63,Regular
,S008,P016,122.0,1761.88,14.29,Regular
11-03-2024,S049,P071,50.0,3774.17,17.15,Premium
13/11/2024,S045,P068,125.0,2755.87,19.52,New
